what,kind,bundleId,bundleVersion,description,time
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1350212694058
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1350212718684
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1350212721849
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1350212734561
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1350212736354
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.add.javadoc.comment",1350212767272
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1350212777437
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350212781030
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350212880192
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350212884535
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350212911303
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1350212914147
started,bundle,org.eclipse.mylyn.java.tasks,3.7.1.v20120425-0100,"org.eclipse.mylyn.java.tasks",1350212919089
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1350212920346
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350212938263
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350212976879
started,bundle,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk",1350212981881
started,bundle,org.eclipse.equinox.p2.ui,2.0.0.v20100518,"org.eclipse.equinox.p2.ui",1350212981954
started,bundle,org.eclipse.ecf.filetransfer,4.0.0.v20100906-1425,"org.eclipse.ecf.filetransfer",1350212982186
started,bundle,org.eclipse.ecf.identity,3.1.0.v20100906-1425,"org.eclipse.ecf.identity",1350212982312
started,bundle,org.eclipse.ecf,3.1.0.v20100906-1425,"org.eclipse.ecf",1350212982533
started,bundle,org.eclipse.ecf.provider.filetransfer.httpclient,4.0.0.v20100906-1425,"org.eclipse.ecf.provider.filetransfer.httpclient",1350212984153
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350212984245
started,bundle,org.eclipse.ecf.provider.filetransfer,3.1.0.v20100906-1425,"org.eclipse.ecf.provider.filetransfer",1350212984304
started,bundle,org.eclipse.equinox.p2.updatesite,1.0.201.R36x_v20100823,"org.eclipse.equinox.p2.updatesite",1350213106953
started,bundle,org.eclipse.equinox.p2.artifact.repository,1.1.1.R36x_v20100901,"org.eclipse.equinox.p2.artifact.repository",1350213141912
started,bundle,org.eclipse.equinox.p2.extensionlocation,1.2.0.v20100518,"org.eclipse.equinox.p2.extensionlocation",1350213142201
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1350213209501
started,bundle,org.eclipse.equinox.p2.director,2.0.3.R36x_v20101117-1018,"org.eclipse.equinox.p2.director",1350213235094
started,bundle,org.eclipse.equinox.p2.garbagecollector,1.0.100.v20100503,"org.eclipse.equinox.p2.garbagecollector",1350213237465
started,bundle,org.eclipse.equinox.p2.touchpoint.eclipse,2.0.3.R36x_v20101202,"org.eclipse.equinox.p2.touchpoint.eclipse",1350213237684
started,bundle,org.eclipse.equinox.frameworkadmin,2.0.0.v20100503,"org.eclipse.equinox.frameworkadmin",1350213246332
started,bundle,org.eclipse.equinox.simpleconfigurator.manipulator,2.0.0.v20100503,"org.eclipse.equinox.simpleconfigurator.manipulator",1350213246428
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350213250157
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk.install",1350213250170
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350213250505
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350213309032
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350213317217
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350213398399
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProgressView",1350213403769
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350213422386
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350213423620
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350213424390
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350213580031
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350213593309
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350213631230
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350213632941
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350213652763
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1350213656547
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.wordPrevious",1350213666764
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1350213667754
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1350213668440
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.copyLineDown",1350213679840
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1350213681386
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1350213682123
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1350213685682
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.copyLineDown",1350213688111
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1350213689626
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordPrevious",1350213690522
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.goto.lineEnd",1350213692994
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1350213695028
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350213701853
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350213706424
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.create.getter.setter",1350213706525
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1350213709684
activated,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProgressView",1350213723830
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1350213733168
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350213735968
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350213739958
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350213746066
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350213810632
executed,command,org.eclipse.equinox.p2.ui.sdk,1.0.100.v20100513,"org.eclipse.equinox.p2.ui.sdk.install",1350213810654
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350213810976
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350213921127
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350214045601
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350214045715
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350214046756
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350214046873
started,bundle,org.eclipse.equinox.frameworkadmin.equinox,1.0.200.v20100505,"org.eclipse.equinox.frameworkadmin.equinox",1350214046992
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350214052174
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350214109064
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350214110547
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350214133173
closed,editor,com.adobe.flexbuilder.project.ui,4.6.1.335153,"com.adobe.flexbuilder.ui.StartPage",1350214135611
closed,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350214139690
stopped,bundle,org.eclipse.m2e.logback.configuration,1.0.0.20110607-2117,"org.eclipse.m2e.logback.configuration",1350214142486
stopped,bundle,org.eclipse.m2e.discovery,1.0.0.20110607-2117,"org.eclipse.m2e.discovery",1350214142671
stopped,bundle,org.eclipse.m2e.refactoring,1.0.0.20110607-2117,"org.eclipse.m2e.refactoring",1350214142696
stopped,bundle,org.eclipse.m2e.editor,1.0.0.20110607-2117,"org.eclipse.m2e.editor",1350214142698
stopped,bundle,org.eclipse.m2e.editor.xml,1.0.0.20110607-2117,"org.eclipse.m2e.editor.xml",1350214142726
