what,kind,bundleId,bundleVersion,description,time
java.version,sysinfo,,,"1.6.0_18",1350233610962
java.vm.info,sysinfo,,,"mixed mode, sharing",1350233610962
java.vm.name,sysinfo,,,"Java HotSpot(TM) Client VM",1350233610962
java.vm.specification.name,sysinfo,,,"Java Virtual Machine Specification",1350233610962
java.vm.specification.vendor,sysinfo,,,"Sun Microsystems Inc.",1350233610962
java.vm.specification.version,sysinfo,,,"1.0",1350233610962
java.vm.vendor,sysinfo,,,"Sun Microsystems Inc.",1350233610962
java.vm.version,sysinfo,,,"16.0-b13",1350233610962
started,bundle,org.eclipse.m2e.usagedata,1.0.0.20110607-2117,"org.eclipse.m2e.usagedata",1350233611038
started,bundle,org.eclipse.team.svn.revision.graph,1.0.0.I20120601-1700,"org.eclipse.team.svn.revision.graph",1350233611493
opened,view,org.eclipse.ui.ide,3.6.2.M20101201-0800,"org.eclipse.ui.views.ProblemView",1350233614504
started,bundle,org.eclipse.jst.ws.jaxws.dom.integration,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.integration",1350233614711
started,bundle,org.eclipse.jst.ws.jaxws.dom.ui,1.0.0.v201004171919,"org.eclipse.jst.ws.jaxws.dom.ui",1350233614766
started,bundle,org.eclipse.jst.servlet.ui,1.1.404.v201101270100,"org.eclipse.jst.servlet.ui",1350233614982
activated,editor,com.adobe.flexbuilder.mxml.editor,4.6.1.335153,"com.adobe.flexbuilder.editors.mxml.MXMLEditor",1350233627649
started,bundle,com.adobe.flexide.embeddedplayer,4.6.1.335153,"com.adobe.flexide.embeddedplayer",1350233627983
error,log,,,"Unsupported design description file G:/workspace/allprojects/BugTracker/BugTrackerGUI/libs/parsley-core-3.0.0.swc\n   root tag: expected = design, actual = design\n   version: expected = 2, actual = ",1350233629224
error,log,,,"Unsupported design description file G:/workspace/allprojects/BugTracker/BugTrackerGUI/libs/parsley-flex-3.0.0.swc\n   root tag: expected = design, actual = design\n   version: expected = 2, actual = ",1350233629253
opened,editor,com.adobe.flexbuilder.as.editor,4.6.1.335153,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1350233639308
activated,editor,com.adobe.flexbuilder.as.editor,4.6.1.335153,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1350233639499
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1350233654990
started,bundle,org.tigris.subversion.clientadapter.javahl,1.7.6,"org.tigris.subversion.clientadapter.javahl",1350233666072
started,bundle,ActionscriptInfoCollector,0.8.9,"ActionscriptInfoCollector",1350233666527
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350233669485
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350233677036
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1350233677305
started,bundle,org.eclipse.wst.html.core,1.1.406.v201109271810,"org.eclipse.wst.html.core",1350233679628
error,log,,,"Could not replace file form-data.xml in output folder.",1350233681129
started,bundle,org.eclipse.wst.css.core,1.1.403.v201103021532,"org.eclipse.wst.css.core",1350233683726
started,bundle,org.eclipse.wst.common.uriresolver,1.1.401.v201004280700,"org.eclipse.wst.common.uriresolver",1350233683767
started,bundle,org.eclipse.m2e.core,1.0.0.20110607-2117,"org.eclipse.m2e.core",1350233683798
started,bundle,org.eclipse.wst.xsl.exslt.core,1.0.0.v201005240426,"org.eclipse.wst.xsl.exslt.core",1350233684231
started,bundle,org.eclipse.wst.internet.cache,1.0.400.v201004280700,"org.eclipse.wst.internet.cache",1350233685058
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1350233690847
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.delete.line",1350233692164
error,log,,,"Unable to update index for central|http://repo1.maven.org/maven2",1350233693126
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1350233699016
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.text.contentAssist.proposals",1350233738984
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1350233746452
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1350233758710
executed,command,org.eclipse.ui.workbench.texteditor,3.6.1.r361_v20100714-0800,"org.eclipse.ui.edit.text.select.wordNext",1350233766116
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1350233770655
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1350233784868
opened,editor,com.adobe.flexbuilder.as.editor,4.6.1.335153,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1350233789664
activated,editor,com.adobe.flexbuilder.as.editor,4.6.1.335153,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1350233789917
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1350233794318
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1350233795320
activated,editor,com.adobe.flexbuilder.as.editor,4.6.1.335153,"com.adobe.flexbuilder.editors.actionscript.ActionScriptEditor",1350233801161
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.save",1350233802896
activated,view,org.eclipse.ui.navigator.resources,3.4.202.M20101124-0800,"org.eclipse.ui.navigator.ProjectExplorer",1350233808159
opened,view,org.eclipse.wst.server.ui,1.1.209.v20111005_1716,"org.eclipse.wst.server.ui.ServersView",1350233816632
