what,kind,bundleId,bundleVersion,description,time
executed,command,org.tigris.subversion.subclipse.ui,1.8.15,"org.tigris.subversion.subclipse.ui.branchtag",1350210001659
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350210020172
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350210229201
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350210230364
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350210231730
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350210232626
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350210283300
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350210436233
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350210441323
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350210453764
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350210463878
activated,editor,com.adobe.flexbuilder.mxml.editor,4.6.1.335153,"com.adobe.flexbuilder.editors.mxml.MXMLEditor",1350210475220
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350210479227
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350210485034
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1350210486859
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350210562197
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350210585547
opened,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1350210585976
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1350210586091
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350210609698
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350210611152
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350210612916
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350210618113
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350210618987
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350210629822
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350210632460
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350210633297
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1350210839910
activated,editor,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.CompilationUnitEditor",1350210853382
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350210861107
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350210864797
activated,view,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.PackageExplorer",1350210875264
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.file.refresh",1350210878019
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350210883212
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350210919448
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350210923460
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350210923863
executed,command,org.eclipse.ui,3.6.2.M20110203-1100,"org.eclipse.ui.edit.paste",1350210923866
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350210931791
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350210933661
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350210934156
activated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350210955611
executed,command,org.eclipse.jdt.ui,3.6.2.r362_v20110203,"org.eclipse.jdt.ui.edit.text.java.rename.element",1350210955620
deactivated,workbench,org.eclipse.ui.workbench,3.6.2.M20110210-1200,"",1350210991466
